alert,felt,mag,magType,place,time,title,tsunami,type,parsed_place
,,0.83,ml,"10km NE of Aguanga, CA",,"M 0.8 - 10km NE of Aguanga, CA",0,earthquake, CA
,,1.6,ml,"48km NE of Talkeetna, Alaska",,"M 1.6 - 48km NE of Talkeetna, Alaska",0,earthquake, Alaska
,,2.61,md,"52km ESE of Punta Cana, Dominican Republic",,"M 2.6 - 52km ESE of Punta Cana, Dominican Republic",0,earthquake, Dominican Republic
,,2.2,ml,"69km SW of Kaktovik, Alaska",,"M 2.2 - 69km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.62,ml,"4km SE of Lake Henshaw, CA",,"M 0.6 - 4km SE of Lake Henshaw, CA",0,earthquake, CA
,,0.73,ml,"9km NE of Aguanga, CA",,"M 0.7 - 9km NE of Aguanga, CA",0,earthquake, CA
,,2.97,md,"40km NNW of Road Town, British Virgin Islands",,"M 3.0 - 40km NNW of Road Town, British Virgin Islands",0,earthquake, British Virgin Islands
,,2.09,ml,"13km S of Fern Acres, Hawaii",,"M 2.1 - 13km S of Fern Acres, Hawaii",0,earthquake, Hawaii
,,1.85,ml,"14km S of Fern Acres, Hawaii",,"M 1.9 - 14km S of Fern Acres, Hawaii",0,earthquake, Hawaii
,,0.4,ml,"5km WSW of Anza, CA",,"M 0.4 - 5km WSW of Anza, CA",0,earthquake, CA
,,1.9,ml,"103km NNW of Arctic Village, Alaska",,"M 1.9 - 103km NNW of Arctic Village, Alaska",0,earthquake, Alaska
,,2.0,ml,"63km SSW of Kaktovik, Alaska",,"M 2.0 - 63km SSW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.8,ml,"33km N of Beatty, Nevada",,"M 0.8 - 33km N of Beatty, Nevada",0,earthquake, Nevada
,,2.7,ml,"90km SW of Kaktovik, Alaska",,"M 2.7 - 90km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.72,ml,"28km NNW of Packwood, Washington",,"M 0.7 - 28km NNW of Packwood, Washington",0,earthquake, Washington
,,-0.4,ml,"10km SSE of Beatty, Nevada",,"M -0.4 - 10km SSE of Beatty, Nevada",0,earthquake, Nevada
,1.0,1.7,ml,"45km NW of Talkeetna, Alaska",,"M 1.7 - 45km NW of Talkeetna, Alaska",0,earthquake, Alaska
,,1.5,md,"12km WNW of The Geysers, CA",,"M 1.5 - 12km WNW of The Geysers, CA",0,earthquake, CA
,,0.33,ml,"9km NE of Aguanga, CA",,"M 0.3 - 9km NE of Aguanga, CA",0,earthquake, CA
,,1.57,md,"3km SSW of Maricao, Puerto Rico",,"M 1.6 - 3km SSW of Maricao, Puerto Rico",0,earthquake, Puerto Rico
,,2.2,ml,"78km SW of Kaktovik, Alaska",,"M 2.2 - 78km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,2.49,md,"3km WSW of Maricao, Puerto Rico",,"M 2.5 - 3km WSW of Maricao, Puerto Rico",0,earthquake, Puerto Rico
,,3.0,ml,"84km SW of Kaktovik, Alaska",,"M 3.0 - 84km SW of Kaktovik, Alaska",0,earthquake, Alaska
,,0.89,ml,"4km N of Pacoima, CA",,"M 0.9 - 4km N of Pacoima, CA",0,earthquake, CA
,,1.4,ml,"10km ENE of Badger, Alaska",,"M 1.4 - 10km ENE of Badger, Alaska",0,earthquake, Alaska
,,4.2,mb,"95km SE of Angoram, Papua New Guinea",,"M 4.2 - 95km SE of Angoram, Papua New Guinea",0,earthquake, Papua New Guinea
,,0.6,md,"4km WNW of Mammoth Lakes, CA",,"M 0.6 - 4km WNW of Mammoth Lakes, CA",0,earthquake, CA
,,2.9,ml,"90km SW of Kaktovik, Alaska",,"M 2.9 - 90km SW of Kaktovik, Alaska",0,earthquake, Alaska
