ticker,date,close,volume,open,high,low
FB,2018-09-04,171.16,29460630,173.5,173.89,168.8
GOOG,2018-09-04,1197.0,1800509,1204.27,1212.99,1192.5
NFLX,2018-09-04,363.6,7590605,366.47,368.88,361.26
AAPL,2018-09-05,226.87,33290830,228.99,229.67,225.1
AMZN,2018-09-05,1994.82,8197117,2038.11,2040.38,1989.89
FB,2018-09-05,167.18,31191210,169.49,171.125,166.67
GOOG,2018-09-05,1186.48,2043732,1193.8,1199.0096,1162.0
NFLX,2018-09-05,341.18,13072940,360.0,363.39,335.83
AAPL,2018-09-06,223.1,34121240,226.23,227.35,221.3
AMZN,2018-09-06,1958.31,7473086,2006.505,2007.5,1935.2089999999998
FB,2018-09-06,162.53,41418330,166.98,166.98,160.0
GOOG,2018-09-06,1171.44,1886690,1186.3,1186.3,1152.0
NFLX,2018-09-06,346.46,13029930,347.44,356.0,341.99
AAPL,2018-09-07,221.3,37418910,221.85,225.37,220.71
AMZN,2018-09-07,1952.07,4856982,1938.71,1975.2,1937.35
FB,2018-09-07,163.04,24151910,160.31,164.6269,160.16
GOOG,2018-09-07,1164.83,1401034,1158.67,1175.26,1157.215
NFLX,2018-09-07,348.68,9094700,342.2,355.75,341.25
AAPL,2018-09-10,218.33,39194720,220.95,221.85,216.47
AMZN,2018-09-10,1939.01,4481091,1971.0,1973.04,1931.5158
FB,2018-09-10,164.18,19896190,163.51,165.01,162.16
GOOG,2018-09-10,1164.64,1115259,1172.19,1174.54,1160.11
NFLX,2018-09-10,348.41,5732200,352.27,352.5,343.08
AAPL,2018-09-11,223.85,35644510,218.01,224.299,216.56
AMZN,2018-09-11,1987.15,5016780,1928.27,1988.88,1917.0
FB,2018-09-11,165.94,20285090,163.94,167.19,163.72
GOOG,2018-09-11,1177.36,1209171,1161.63,1178.68,1156.24
NFLX,2018-09-11,355.93,6190391,344.67,356.15,343.9001
AAPL,2018-09-12,221.07,49118510,224.94,225.0,219.84
AMZN,2018-09-12,1990.0,4407334,1994.0,2000.0,1962.44
FB,2018-09-12,162.0,24033850,163.25,164.49,161.8
GOOG,2018-09-12,1162.82,1291304,1172.72,1178.61,1158.36
NFLX,2018-09-12,369.95,10360140,359.08,370.43,356.24
