,ACS_GEO_ID,ACS_GEO_ID2,STFIPS,AREATYPE,AREA,TOTAL_POPULATION,CIVILIAN_LABOR_FORCE,NUMBER_EMPLOYED,UNEMPLOYMENT_RATE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,POVERTY_RATE,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE_GRADUATE,MEDIAN_GROSS_RENT,RENT_PERCENT_INCOME,MEDIAN_HOUSING_VALUE,OWNER_COST_PERCENT_INCOME,MEAN_TRAVEL_TIME_TO_WORK,CIVILIAN_VETERANS,AREANAME_UNUSED
1817,0500000US22019,22,22,04,019,201619,95299,89962,5.6,51148,28778,17.3,86.8,22.3,832,29.5,156800,13.5,21.3,7.9,"Calcasieu Parish, Louisiana"
1818,0500000US22027,22,22,04,027,15985,5534,5193,6.2,26776,16770,33.6,79.5,12.8,618,44.9,78100,13.7,27.7,5.8,"Claiborne Parish, Louisiana"
1819,0500000US22009,22,22,04,009,40669,15967,14953,6.4,38565,22017,24.4,76.8,12.3,663,33.8,104200,14.7,31.0,7.1,"Avoyelles Parish, Louisiana"
1820,0500000US22049,22,22,04,049,15879,5831,5559,4.7,39139,21594,22.8,80.6,14.0,539,31.2,89500,10.3,31.2,8.3,"Jackson Parish, Louisiana"
1821,0500000US22077,22,22,04,077,22016,9694,8952,7.7,41480,28180,20.9,79.8,14.9,833,31.4,142600,15.0,31.5,5.8,"Pointe Coupee Parish, Louisiana"
1822,0500000US22089,22,22,04,089,52773,25893,24457,5.5,69019,32935,11.2,90.0,25.3,978,29.8,201700,14.3,28.0,6.9,"St. Charles Parish, Louisiana"
1823,0500000US22057,22,22,04,057,98108,46149,43281,6.2,55506,28683,15.6,78.2,16.9,793,27.8,158000,13.7,29.3,5.1,"Lafourche Parish, Louisiana"
1824,0500000US22107,22,22,04,107,4561,1592,1332,16.3,27500,15912,34.7,77.5,11.4,561,28.9,66400,14.3,22.2,4.5,"Tensas Parish, Louisiana"
1825,0500000US22059,22,22,04,059,14936,5586,5271,5.6,42104,21654,20.0,77.6,13.6,656,34.7,93000,12.3,41.8,6.4,"LaSalle Parish, Louisiana"
1826,0500000US23015,23,23,04,015,34201,17076,16426,3.8,57720,33595,12.3,93.1,33.5,819,28.8,215400,18.4,25.8,11.5,"Lincoln County, Maine"
1827,0500000US23027,23,23,04,027,39539,19981,18889,5.5,51931,29674,13.5,92.2,31.4,814,29.0,163000,17.8,27.4,10.3,"Waldo County, Maine"
1828,0500000US23021,23,23,04,021,16836,6832,6403,6.3,40890,24074,18.5,90.3,18.4,618,29.0,109500,17.8,26.2,12.6,"Piscataquis County, Maine"
1829,0500000US23003,23,23,04,003,67809,31139,29593,5.0,41123,25477,16.1,88.6,19.2,574,29.4,99600,15.9,18.1,11.0,"Aroostook County, Maine"
